,food,ingredients,instructions,ingredients_clean,instructions_clean,ingredients_instructions,ingredients_instructions_clean
829,Steamed Lobster with Lemon Butter Sauce,"3 fresh lobsters, 6 cups water, 1/4 cup butter, juice from 1 lemon, a pinch of salt","Pour water in a large steamer. Let boil.
Once the water starts to boil, arrange the lobsters in the steamer. Steam for 12 to 14 minutes. Make sure to shake the steamer every 4 minutes.
Meanwhile, prepare the lemon butter sauce by transferring the butter in a bowl. Melt by microwaving for 20 to 30 seconds or until the butter melts completely. Squeeze the lemon juice on the melted butter and add a pinch of salt. Stir until all the ingredients are well blended.
Remove the lobsters from the steamer and transfer to a serving plate. Serve with lemon butter sauce. Share and enjoy!",lobster water butter juice lemon pinch salt,pour let boil start boil arrange shake prepare transfer melt microwave melt squeeze melt stir blend remove serve,"3 fresh lobsters, 6 cups water, 1/4 cup butter, juice from 1 lemon, a pinch of salt Pour water in a large steamer. Let boil.
Once the water starts to boil, arrange the lobsters in the steamer. Steam for 12 to 14 minutes. Make sure to shake the steamer every 4 minutes.
Meanwhile, prepare the lemon butter sauce by transferring the butter in a bowl. Melt by microwaving for 20 to 30 seconds or until the butter melts completely. Squeeze the lemon juice on the melted butter and add a pinch of salt. Stir until all the ingredients are well blended.
Remove the lobsters from the steamer and transfer to a serving plate. Serve with lemon butter sauce. Share and enjoy!",lobster water butter juice lemon pinch salt pour let boil start boil arrange shake prepare transfer melt microwave melt squeeze melt stir blend remove serve
830,Seafood Paella Recipe,"2 cups paella rice, 13 pieces cooked little-neck clams, 13 pieces large tiger shrimp, 13 pieces cooked mussels, 1 large squid sliced into rings, 16 ounces clam juice, 1 cup water, 1/4 cup chopped parsley, 1 medium tomato diced, 1 cup green peas, 1 1/2 teaspoons saffron, 1 medium onion chopped, 1 small red bell pepper roasted and sliced into strips, 1 tablespoon paprika, 1 1/2 tablespoons garlic paste, 6 tablespoons olive oil, 2 teaspoons salt, 2 pieces lemon sliced into wedges","Gently pound the garlic using a mortar and pestle tool. Grind until the texture becomes smooth similar to a paste.
Combine the parsley, salt, garlic paste, paprika, and 2 tablespoons olive oil in the same mortar and pestle tool (mortar and pestle is also known as almires or dikdikan) and then continue to grind using the pestle until the entire mixture turns into a paste. Set aside.
Heat the pan. Pour the remaining olive oil on the paellera or pan.
Fry the tiger shrimp and shrimp for 1 minute per side. Remove the shrimp and squid and put in a plate.
On the same pan with the remaining oil, saute onion and tomato.
Add the green peas and paste mixture (this is the mixture from step 2). Stir.
Pour-in water and clam juice. Let boil.
Add the saffron and paella rice. Cover and adjust the heat to low. Cook for 20 minutes.
Arrange clams, mussels, shrimp, squid, and roasted bell pepper.Cover and continue to cook for 8 minutes or until the rice is done. You can add more water if needed.
Arrange the lemon wedges on the side.
Serve. Share and enjoy!",paella rice neck clams tiger shrimp mussel squid ring clam juice water chop parsley pea teaspoon saffron medium onion bell pepper strip paprika garlic paste oil teaspoon salt lemon wedge,pound combine know grind turn heat pour remain shrimp remove remain saute stir pour let boil cover cover cook need arrange,"2 cups paella rice, 13 pieces cooked little-neck clams, 13 pieces large tiger shrimp, 13 pieces cooked mussels, 1 large squid sliced into rings, 16 ounces clam juice, 1 cup water, 1/4 cup chopped parsley, 1 medium tomato diced, 1 cup green peas, 1 1/2 teaspoons saffron, 1 medium onion chopped, 1 small red bell pepper roasted and sliced into strips, 1 tablespoon paprika, 1 1/2 tablespoons garlic paste, 6 tablespoons olive oil, 2 teaspoons salt, 2 pieces lemon sliced into wedges Gently pound the garlic using a mortar and pestle tool. Grind until the texture becomes smooth similar to a paste.
Combine the parsley, salt, garlic paste, paprika, and 2 tablespoons olive oil in the same mortar and pestle tool (mortar and pestle is also known as almires or dikdikan) and then continue to grind using the pestle until the entire mixture turns into a paste. Set aside.
Heat the pan. Pour the remaining olive oil on the paellera or pan.
Fry the tiger shrimp and shrimp for 1 minute per side. Remove the shrimp and squid and put in a plate.
On the same pan with the remaining oil, saute onion and tomato.
Add the green peas and paste mixture (this is the mixture from step 2). Stir.
Pour-in water and clam juice. Let boil.
Add the saffron and paella rice. Cover and adjust the heat to low. Cook for 20 minutes.
Arrange clams, mussels, shrimp, squid, and roasted bell pepper.Cover and continue to cook for 8 minutes or until the rice is done. You can add more water if needed.
Arrange the lemon wedges on the side.
Serve. Share and enjoy!",paella rice neck clams tiger shrimp mussel squid ring clam juice water chop parsley pea teaspoon saffron medium onion bell pepper strip paprika garlic paste oil teaspoon salt lemon wedge pound combine know grind turn heat pour remain shrimp remove remain saute stir pour let boil cover cover cook need arrange
831,Roasted Pork Belly (Lechon Liempo),"1 slab 5 lbs. pork belly bones removed, 3 stalks lemongrass leaves, 3 pieces scallions, 1 small red onion sliced, 1 tablespoon salt, 2 tablespoons fresh milk, 1/4 teaspoon ground black pepper, 1 tablespoon canola oil","Lay the pork belly on a flat surface in a way that the side with the skin is facing down. Rub the salt and pepper all over the top of the pork belly (meat part). Let it stand for 15 minutes.
Arrange the lemongrass, scallions, and onion slices on one one of the belly. Roll the side where you had the lemongrass all the way to the opposite side until a spiral shape is formed. Secure the rolled pork belly by tying it with a kitchen twine. Rub the oil all over the skin.
Preheat oven to 350F. Arrange the pork belly in a roasting pan and roast for 2 hours.
Remove the belly from the oven and brush with fresh milk. Put it back into the oven and continue to roast for 30 minutes or until the skin is brown and crispy.
Remove from the oven. Let it cool down for 15 minutes. Slice the Roasted Pork Belly and serve with homemade lechon sauce.
Share and enjoy!",slab pork belly bone stalk scallion onion salt milk teaspoon ground pepper,lay face rub let stand arrange roll form secure roll tie rub arrange roast roast remove roast remove let cool slice,"1 slab 5 lbs. pork belly bones removed, 3 stalks lemongrass leaves, 3 pieces scallions, 1 small red onion sliced, 1 tablespoon salt, 2 tablespoons fresh milk, 1/4 teaspoon ground black pepper, 1 tablespoon canola oil Lay the pork belly on a flat surface in a way that the side with the skin is facing down. Rub the salt and pepper all over the top of the pork belly (meat part). Let it stand for 15 minutes.
Arrange the lemongrass, scallions, and onion slices on one one of the belly. Roll the side where you had the lemongrass all the way to the opposite side until a spiral shape is formed. Secure the rolled pork belly by tying it with a kitchen twine. Rub the oil all over the skin.
Preheat oven to 350F. Arrange the pork belly in a roasting pan and roast for 2 hours.
Remove the belly from the oven and brush with fresh milk. Put it back into the oven and continue to roast for 30 minutes or until the skin is brown and crispy.
Remove from the oven. Let it cool down for 15 minutes. Slice the Roasted Pork Belly and serve with homemade lechon sauce.
Share and enjoy!",slab pork belly bone stalk scallion onion salt milk teaspoon ground pepper lay face rub let stand arrange roll form secure roll tie rub arrange roast roast remove roast remove let cool slice
832,Crown Roast of Lamb,"2 racks lamb, 2 teaspoons minced garlic, 2 tablespoons minced fresh thyme, 1 tablespoon minced fresh rosemary, 1 1/2 teaspoons coarse sea salt, 1/2 teaspoons ground black pepper, 2 tablespoons olive oil","Make a crown out of the racks of lamb by combining both racks sideways using a kitchen twine. Pinch a hole on one end of of both racks before the last rib.
Bring both racks together side by side. The part with the hole should be right by each other. Insert a kitchen twine on one hole (first rack) then secure by tieing around the last rib near it. Insert the other end of the twine in the hole of the other rack (second rack) and then pull until the two racks are connected to each other. Secure the twine. Repeat these steps on the other sides of the racks to create a crown.
Rub salt and pepper all over the meat. Let is stay for 30 minutes.
Meanwhile, combine rosemary, thyme, and olive oil in a bowl. Stir and rub all over the crown of lamb. Let is stand for at least 15 minutes.
Preheat the oven to 370F. While the oven is warming-up, wrap the exposed ribs with aluminum foil.
Arrange the crown of lamb in a baking tray or circular cake pan. Roast for 35 to 40 minutes.
Remove from the oven and let it cool down for 15 minutes. Slice into individual servings and serve. Share and enjoy!",rack lamb teaspoon mince garlic thyme mince rosemary ground pepper oil,combine pinch bring insert tie insert pull connect secure repeat create let stay combine stir rub let stand preheat warm wrap expose arrange remove let cool,"2 racks lamb, 2 teaspoons minced garlic, 2 tablespoons minced fresh thyme, 1 tablespoon minced fresh rosemary, 1 1/2 teaspoons coarse sea salt, 1/2 teaspoons ground black pepper, 2 tablespoons olive oil Make a crown out of the racks of lamb by combining both racks sideways using a kitchen twine. Pinch a hole on one end of of both racks before the last rib.
Bring both racks together side by side. The part with the hole should be right by each other. Insert a kitchen twine on one hole (first rack) then secure by tieing around the last rib near it. Insert the other end of the twine in the hole of the other rack (second rack) and then pull until the two racks are connected to each other. Secure the twine. Repeat these steps on the other sides of the racks to create a crown.
Rub salt and pepper all over the meat. Let is stay for 30 minutes.
Meanwhile, combine rosemary, thyme, and olive oil in a bowl. Stir and rub all over the crown of lamb. Let is stand for at least 15 minutes.
Preheat the oven to 370F. While the oven is warming-up, wrap the exposed ribs with aluminum foil.
Arrange the crown of lamb in a baking tray or circular cake pan. Roast for 35 to 40 minutes.
Remove from the oven and let it cool down for 15 minutes. Slice into individual servings and serve. Share and enjoy!",rack lamb teaspoon mince garlic thyme mince rosemary ground pepper oil combine pinch bring insert tie insert pull connect secure repeat create let stay combine stir rub let stand preheat warm wrap expose arrange remove let cool
833,Kielbasa Fried Rice,"4 cups cooked white rice preferably leftovers, 3 tablespoons butter, 1 teaspoon garlic powder, 2 eggs, 1 cup sliced Kielbasa sausage, 1/2 cup green peas, 1/4 cup chopped green onions, 3 tablespoons soy sauce","Melt butter in a pan.
Add the Kielbasa sausage. Cook in low to medium heat for 1 minute per side.
Push the Kielbasa on the side. Crack the eggs and stir. Continue to cook until the eggs are formed.
Put the rice in the pan. Gently fold until all the ingredients are well blended.
Add the green peas, garlic powder and soy sauce. Stir fry until blended.
Put the chopped green onions on top. Stir fry for 2 to 3 minutes.
Serve. Share and enjoy!",rice preferably butter teaspoon powder egg onion soy sauce,melt push crack stir cook form fold blend stir blend chop stir,"4 cups cooked white rice preferably leftovers, 3 tablespoons butter, 1 teaspoon garlic powder, 2 eggs, 1 cup sliced Kielbasa sausage, 1/2 cup green peas, 1/4 cup chopped green onions, 3 tablespoons soy sauce Melt butter in a pan.
Add the Kielbasa sausage. Cook in low to medium heat for 1 minute per side.
Push the Kielbasa on the side. Crack the eggs and stir. Continue to cook until the eggs are formed.
Put the rice in the pan. Gently fold until all the ingredients are well blended.
Add the green peas, garlic powder and soy sauce. Stir fry until blended.
Put the chopped green onions on top. Stir fry for 2 to 3 minutes.
Serve. Share and enjoy!",rice preferably butter teaspoon powder egg onion soy sauce melt push crack stir cook form fold blend stir blend chop stir
834,Beef Sinigang sa Kamias with Gabi (Beef in Sour Broth with Taro),"2 lbs. beef chuck sliced into cibes, 2 medium tomato wedged, 1 medium yellow onion wedged, 10 to 12 pieces fresh or dried bilimbi kamias, 7 to 10 pieces okra, 4 pieces Indian eggplant sliced in half, 12 pieces string beans cut into 2 inch. length, 2 to 3 cups spinach or kangkong, 2 to 3 tablespoons fish sauce, 4 to 5 pieces taro root (gabi), peeled and cleaned, 9 cups water, 2 cups beef broth","Pour the 5 cups water and beef broth in a cooking pot. Let boil.
Add the tomato, onion, and kamias.Cook for 5 to 8 minutes.
Add the beef continue to boil in low to medium heat for 45 minutes.
Put the taro roots in the boiling mixture. Cook for another 45 minutes or until the beef gets tender.
Meanwhile, boil the remaining 4 cups of water in a second cooking pot.
Once the water starts to boil, blanch the vegetables for 3 minutes (45 seconds for the spinach). (Blanching means cooking the vegetables in boiling water and then removing these quickly and place in a bowl with cold water.) Drain water and arrange the vegetables in a plate.
Once the beef gets tender, add the fish sauce and stir. Note: you can add more water if needed.
Transfer the beef, taro, and soup to individual bowls and arrange blanched vegetables on top.
Serve warm. Share and enjoy!",beef chuck cibes tomato onion bilimbi kamia okra indian eggplant inch length spinach kangkong fish sauce taro root gabi water beef broth,pour let boil boil get boil remain start boil blanch mean cook remove arrange get stir note need transfer arrange blanch,"2 lbs. beef chuck sliced into cibes, 2 medium tomato wedged, 1 medium yellow onion wedged, 10 to 12 pieces fresh or dried bilimbi kamias, 7 to 10 pieces okra, 4 pieces Indian eggplant sliced in half, 12 pieces string beans cut into 2 inch. length, 2 to 3 cups spinach or kangkong, 2 to 3 tablespoons fish sauce, 4 to 5 pieces taro root (gabi), peeled and cleaned, 9 cups water, 2 cups beef broth Pour the 5 cups water and beef broth in a cooking pot. Let boil.
Add the tomato, onion, and kamias.Cook for 5 to 8 minutes.
Add the beef continue to boil in low to medium heat for 45 minutes.
Put the taro roots in the boiling mixture. Cook for another 45 minutes or until the beef gets tender.
Meanwhile, boil the remaining 4 cups of water in a second cooking pot.
Once the water starts to boil, blanch the vegetables for 3 minutes (45 seconds for the spinach). (Blanching means cooking the vegetables in boiling water and then removing these quickly and place in a bowl with cold water.) Drain water and arrange the vegetables in a plate.
Once the beef gets tender, add the fish sauce and stir. Note: you can add more water if needed.
Transfer the beef, taro, and soup to individual bowls and arrange blanched vegetables on top.
Serve warm. Share and enjoy!",beef chuck cibes tomato onion bilimbi kamia okra indian eggplant inch length spinach kangkong fish sauce taro root gabi water beef broth pour let boil boil get boil remain start boil blanch mean cook remove arrange get stir note need transfer arrange blanch
835,Lumpiang Gulay (Vegetable Egg Roll Recipe),"1 lb. mung bean sprouts cleaned, 6 ounces fried extra firm tofu cut into cubes, 2 cups shredded cabbage, 1 medium yellow onion sliced, 1 small tomato cubed (optional), 1 teaspoon minced garlic, 2 teaspoons coarse sea salt, 1/4 teaspoon ground black pepper, Egg roll or sprig roll wrapper, 1 1/2 cups cooking oil","Heat 3 tablespoons of cooking oil. Once the oil gets hot, saute garlic and onion.
When the onion gets soft, add tomato and tofu. Stir fry for 2 minutes.
Put some salt and ground black pepper. Stir.
Add the cabbage and then cook for 3 minutes.
Stir-in the bean sprouts and cook for 5 minutes.
Transfer the cooked vegetable in a plate. Drain the excess liquid.
Once the vegetable cools-off, start to wrap it using the egg roll wrappers. Lay the wrapper flat on a big plate. Place around 2 to 2 1/2 tablespoon of vegetable on one end of the wrapper. Fold the opposite edges of the wrapper and then roll until the vegetables are secured. Seal the end of the wrapper by dipping your finger in water and run it over the end of the wrapper; gently press the wet loose end towards the egg roll.
Heat the remaining cooking oil in a cooking pot. Once the oil gets hot, fry one side of the egg rolls in medium heat until the color of the wrapper turns golden brown. Flip the egg roll to cook the opposite side.
Remove the egg rolls from the cooking pot and arrange in a plate lined with paper towel.
Serve warm with spiced vinegar.
Share and enjoy!",mung bean sprout cube cabbage onion teaspoon sea salt teaspoon ground pepper egg roll sprig roll wrapper oil,cook get saute get stir stir cook stir cook transfer cook drain cool wrap lay place fold roll secure seal dip run press heat remain get fry roll turn flip cook remove roll arrange line,"1 lb. mung bean sprouts cleaned, 6 ounces fried extra firm tofu cut into cubes, 2 cups shredded cabbage, 1 medium yellow onion sliced, 1 small tomato cubed (optional), 1 teaspoon minced garlic, 2 teaspoons coarse sea salt, 1/4 teaspoon ground black pepper, Egg roll or sprig roll wrapper, 1 1/2 cups cooking oil Heat 3 tablespoons of cooking oil. Once the oil gets hot, saute garlic and onion.
When the onion gets soft, add tomato and tofu. Stir fry for 2 minutes.
Put some salt and ground black pepper. Stir.
Add the cabbage and then cook for 3 minutes.
Stir-in the bean sprouts and cook for 5 minutes.
Transfer the cooked vegetable in a plate. Drain the excess liquid.
Once the vegetable cools-off, start to wrap it using the egg roll wrappers. Lay the wrapper flat on a big plate. Place around 2 to 2 1/2 tablespoon of vegetable on one end of the wrapper. Fold the opposite edges of the wrapper and then roll until the vegetables are secured. Seal the end of the wrapper by dipping your finger in water and run it over the end of the wrapper; gently press the wet loose end towards the egg roll.
Heat the remaining cooking oil in a cooking pot. Once the oil gets hot, fry one side of the egg rolls in medium heat until the color of the wrapper turns golden brown. Flip the egg roll to cook the opposite side.
Remove the egg rolls from the cooking pot and arrange in a plate lined with paper towel.
Serve warm with spiced vinegar.
Share and enjoy!",mung bean sprout cube cabbage onion teaspoon sea salt teaspoon ground pepper egg roll sprig roll wrapper oil cook get saute get stir stir cook stir cook transfer cook drain cool wrap lay place fold roll secure seal dip run press heat remain get fry roll turn flip cook remove roll arrange line
836,Inabraw Recipe (Boiled Vegetables with Fried Fish),"1 whole tilapia fried (get the recipe here), 2 large plum tomato wedged, 1 large yellow onion wedged, 2 thumbs ginger sliced, 12 pieces string beans cut into 2 inch. length, 3 to 4 pieces Indian eggplant halved, 6 to 8 pieces okra, 1 cup jute leaves, 1 medium bitter melon cored and sliced, 2 cups water, 1/4 cup bagoong balayan or bagoong monamon anchovy sauce","Pour water in a pan or cooking pot. Let boil.
Add the ginger, onion, and tomato. Cover and boil in medium heat for 10 to 12 minutes.
Pour-in the anchovy sauce. Stir. Add the bitter melon, string beans, okra, and eggplant. Cover and cook for 8 to 12 minutes.
Add the jute leaves. Stir and then add the fried fish on top. Cook for 3 minutes.
Transfer to a serving plate. Serve with warm white rice and calamansi or lime.
Share and enjoy!",tilapia recipe plum tomato onion inch length eggplant okra jute leave melon water bagoong balayan bagoong monamon anchovy sauce,pour let boil cover boil pour stir cover cook leave stir fry transfer serve,"1 whole tilapia fried (get the recipe here), 2 large plum tomato wedged, 1 large yellow onion wedged, 2 thumbs ginger sliced, 12 pieces string beans cut into 2 inch. length, 3 to 4 pieces Indian eggplant halved, 6 to 8 pieces okra, 1 cup jute leaves, 1 medium bitter melon cored and sliced, 2 cups water, 1/4 cup bagoong balayan or bagoong monamon anchovy sauce Pour water in a pan or cooking pot. Let boil.
Add the ginger, onion, and tomato. Cover and boil in medium heat for 10 to 12 minutes.
Pour-in the anchovy sauce. Stir. Add the bitter melon, string beans, okra, and eggplant. Cover and cook for 8 to 12 minutes.
Add the jute leaves. Stir and then add the fried fish on top. Cook for 3 minutes.
Transfer to a serving plate. Serve with warm white rice and calamansi or lime.
Share and enjoy!",tilapia recipe plum tomato onion inch length eggplant okra jute leave melon water bagoong balayan bagoong monamon anchovy sauce pour let boil cover boil pour stir cover cook leave stir fry transfer serve
837,Teriyaki Chicken Thighs,"1 lb. chicken thighs cut into serving pieces, 1 serving Teriyaki Sauce get the recipe here, 1/8 teaspoon ground black pepper, 1/2 teaspoon Garlic powder, A pinch of salt, 1 tablespoon roasted sesame seeds","Arrange the chicken in a mixing bowl. Pour the teriyaki sauce in the bowl and add garlic powder, salt, and ground black pepper. Mix well. Cover the mixing bowl. Marinate the chicken overnight. Make sure to place the chicken inside the refrigerator.
Grill the chicken. You can use any type of grill. I am using a grill plate (on a stovetop). Grill one side of the chicken for 5 minutes and then flip it over and grill the other side for 5 minutes.
Remove the skin from the chicken. Continue to grill both sides for 7 to 10 minutes per side or until the chicken is fully cooked. Make sure to baste the chicken with the leftover marinade every 3 minutes to keep it moist.
Transfer to a serving plate. Sprinkle sesame seeds on top. Share and enjoy!",chicken thigh teriyaki sauce recipe teaspoon ground pepper teaspoon powder pinch salt sesame seed,arrange pour mix cover marinate place use flip grill remove grill cook baste transfer serve sprinkle,"1 lb. chicken thighs cut into serving pieces, 1 serving Teriyaki Sauce get the recipe here, 1/8 teaspoon ground black pepper, 1/2 teaspoon Garlic powder, A pinch of salt, 1 tablespoon roasted sesame seeds Arrange the chicken in a mixing bowl. Pour the teriyaki sauce in the bowl and add garlic powder, salt, and ground black pepper. Mix well. Cover the mixing bowl. Marinate the chicken overnight. Make sure to place the chicken inside the refrigerator.
Grill the chicken. You can use any type of grill. I am using a grill plate (on a stovetop). Grill one side of the chicken for 5 minutes and then flip it over and grill the other side for 5 minutes.
Remove the skin from the chicken. Continue to grill both sides for 7 to 10 minutes per side or until the chicken is fully cooked. Make sure to baste the chicken with the leftover marinade every 3 minutes to keep it moist.
Transfer to a serving plate. Sprinkle sesame seeds on top. Share and enjoy!",chicken thigh teriyaki sauce recipe teaspoon ground pepper teaspoon powder pinch salt sesame seed arrange pour mix cover marinate place use flip grill remove grill cook baste transfer serve sprinkle
838,Turkey and Ham Sopas,"1 lb. chopped leftover turkey, 3 ounces chopped ham, 2 small carrots sliced, 3 celery stems chopped, 1 medium yellow onion chopped, 4 cups chicken broth, 2 cups fresh milk, 3 tablespoons butter, 1 1/2 cups Farfalle bow tie pasta or macaroni, 1/4 cup French fried onion optional, 3 tablespoons roasted garlic optional, Salt and pepper to taste","Melt butter in a cooking pot. Continue to heat the butter until it gets hot enough to cook the veggies.
Saute the onion, carrots, and celery for 3 minutes.
Add the turkey and ham. Saute for 3 to 5 minutes.
Pour-in the chicken broth. Let boil. Add the pasta. Cover and cook in low to medium heat for 20 minutes.
Pour-in milk. Stir and let the liquid re-boil.
Add salt and pepper to taste.
Transfer to individual bowls. You can top it with French fried onions or roasted garlic.
Serve hot. Share and enjoy!",turkey ham carrot celery onion chicken broth milk butter farfalle tie pasta macaroni fry onion optional roast garlic salt pepper,melt heat get cook pour let boil cover cook pour stir let taste fry,"1 lb. chopped leftover turkey, 3 ounces chopped ham, 2 small carrots sliced, 3 celery stems chopped, 1 medium yellow onion chopped, 4 cups chicken broth, 2 cups fresh milk, 3 tablespoons butter, 1 1/2 cups Farfalle bow tie pasta or macaroni, 1/4 cup French fried onion optional, 3 tablespoons roasted garlic optional, Salt and pepper to taste Melt butter in a cooking pot. Continue to heat the butter until it gets hot enough to cook the veggies.
Saute the onion, carrots, and celery for 3 minutes.
Add the turkey and ham. Saute for 3 to 5 minutes.
Pour-in the chicken broth. Let boil. Add the pasta. Cover and cook in low to medium heat for 20 minutes.
Pour-in milk. Stir and let the liquid re-boil.
Add salt and pepper to taste.
Transfer to individual bowls. You can top it with French fried onions or roasted garlic.
Serve hot. Share and enjoy!",turkey ham carrot celery onion chicken broth milk butter farfalle tie pasta macaroni fry onion optional roast garlic salt pepper melt heat get cook pour let boil cover cook pour stir let taste fry
839,Tuna Sandwich Spread,"1 12 oz. can tuna, drained, 1 small yellow onion chopped, 2 tablespoons sweet pickle relish, 1 cup cup mayonnaise, 1 teaspoon granulated white sugar, 1/4 teaspoon salt, 1/4 teaspoon garlic powder, 1/8 teaspoon ground black pepper","Arrange the onion in a bowl. Microwave for 30 seconds.
Add the remaining ingredients in the same bowl.
Fold the ingredients until well blended.
Use as a sandwich spread for Pandesal. Enjoy!",oz tuna onion pickle mayonnaise teaspoon sugar teaspoon salt teaspoon powder teaspoon ground pepper,arrange remain fold blend use,"1 12 oz. can tuna, drained, 1 small yellow onion chopped, 2 tablespoons sweet pickle relish, 1 cup cup mayonnaise, 1 teaspoon granulated white sugar, 1/4 teaspoon salt, 1/4 teaspoon garlic powder, 1/8 teaspoon ground black pepper Arrange the onion in a bowl. Microwave for 30 seconds.
Add the remaining ingredients in the same bowl.
Fold the ingredients until well blended.
Use as a sandwich spread for Pandesal. Enjoy!",oz tuna onion pickle mayonnaise teaspoon sugar teaspoon salt teaspoon powder teaspoon ground pepper arrange remain fold blend use
840,"Sausage, Liver, and Pork Stew","1 large Kielbasa sausage sliced, 1 1/2 lb pork cubed, 1/4 lb. pig liver cubed, 1 large baking potato cubed, 1 small red bell pepper chopped, 3/4 cup frozen green peas, 1/2 cup carrot cubed, 1 medium yellow onion diced, 1 teaspoon minced garlic, 3 tablespoons cooking oil, 1 can tomato paste, 2 1/2 cups beef broth, Salt and pepper to taste","Heat the oil in a cooking pot.
Once the oil gets hot, brown the pork.
Add the onion and garlic. Saute until the onion gets soft.
Stir-in the sausage. Cook for 3 minutes.
Add the pig liver. Cook for 3 to 4 minutes.
Add the tomato paste. Stir. Pour-in the beef broth. Let boil. Cover and simmer until the pork is tender (around 40 to 60 minutes). You can add more beef broth if needed.
Add the potato, green peas, carrots, and ref bell pepper. Stir and cook for 10 to 12 minutes.
Add salt and pepper to taste. Cook for 2 minutes more.
Transfer to a serving bowl.Serve.
Share and enjoy!",kielbasa sausage pork pig liver baking potato bell pepper pea carrot onion teaspoon mince garlic oil tomato paste beef broth salt pepper,heat get brown get stir stir let boil cover simmer need stir cook taste transfer serve,"1 large Kielbasa sausage sliced, 1 1/2 lb pork cubed, 1/4 lb. pig liver cubed, 1 large baking potato cubed, 1 small red bell pepper chopped, 3/4 cup frozen green peas, 1/2 cup carrot cubed, 1 medium yellow onion diced, 1 teaspoon minced garlic, 3 tablespoons cooking oil, 1 can tomato paste, 2 1/2 cups beef broth, Salt and pepper to taste Heat the oil in a cooking pot.
Once the oil gets hot, brown the pork.
Add the onion and garlic. Saute until the onion gets soft.
Stir-in the sausage. Cook for 3 minutes.
Add the pig liver. Cook for 3 to 4 minutes.
Add the tomato paste. Stir. Pour-in the beef broth. Let boil. Cover and simmer until the pork is tender (around 40 to 60 minutes). You can add more beef broth if needed.
Add the potato, green peas, carrots, and ref bell pepper. Stir and cook for 10 to 12 minutes.
Add salt and pepper to taste. Cook for 2 minutes more.
Transfer to a serving bowl.Serve.
Share and enjoy!",kielbasa sausage pork pig liver baking potato bell pepper pea carrot onion teaspoon mince garlic oil tomato paste beef broth salt pepper heat get brown get stir stir let boil cover simmer need stir cook taste transfer serve
841,Spicy Chicken in Coconut Milk (Ginataang Manok),"1 1/2 lb. chicken cut into serving pieces, 10 pieces spicy red chili, 2 pieces spicy green pepper, 14 ounces coconut cream, 2 teaspoons turmeric powder, 1 cup mooring malunggay leaves, 1 thumb ginger julienne, 4 cloves garlic crushed, 1 medium red onion sliced, 1/2 chicken cube, 2 tablespoons fish sauce","Heat a cooking pot and then pour-in the coconut cream.
Add ginger, garlic, and onion. Stir and let boil.
Put-in the chicken. Let the liquid reboil.
Add the chili and turmeric powder. Stir. Cover and simmer for 35 minutes.
Add the mooring leaves (malunggay). Stir and cook for 5 minutes.
Add the fish sauce. Stir and cook for 2 to 3 minutes.
Transfer to a serving bowl. Serve.
Share and enjoy!",chicken chili green pepper coconut cream teaspoon powder mooring malunggay thumb ginger julienne clove garlic onion chicken cube fish sauce,heat pour stir let boil let stir cover simmer stir cook stir cook transfer serve,"1 1/2 lb. chicken cut into serving pieces, 10 pieces spicy red chili, 2 pieces spicy green pepper, 14 ounces coconut cream, 2 teaspoons turmeric powder, 1 cup mooring malunggay leaves, 1 thumb ginger julienne, 4 cloves garlic crushed, 1 medium red onion sliced, 1/2 chicken cube, 2 tablespoons fish sauce Heat a cooking pot and then pour-in the coconut cream.
Add ginger, garlic, and onion. Stir and let boil.
Put-in the chicken. Let the liquid reboil.
Add the chili and turmeric powder. Stir. Cover and simmer for 35 minutes.
Add the mooring leaves (malunggay). Stir and cook for 5 minutes.
Add the fish sauce. Stir and cook for 2 to 3 minutes.
Transfer to a serving bowl. Serve.
Share and enjoy!",chicken chili green pepper coconut cream teaspoon powder mooring malunggay thumb ginger julienne clove garlic onion chicken cube fish sauce heat pour stir let boil let stir cover simmer stir cook stir cook transfer serve
